//MainMenu
MainMenu_Buff|BUFF
MainMenu_Cardpedia|CARDPEDIA


//BuffGameMenu
BuffGameMenu_NewGame|NEW GAME
BuffGameMenu_LoadGame|{0} - Cycle: {1} - Buff Count: {2}
BuffGameMenu_LoadGameUK|UNKNOWN DATA - Buff Count: {0}

//BuffMissionPage
BuffMissionPage_General|GENERAL MISSIONS
BuffMissionPage_Exclusive|EXCLUSIVE<LINE>MISSION
BuffMissionPage_No_Exclusive|NO EXCLUSIVE MISSION<LINE>FOR THIS CHARACTER
BuffMissionPage_Start|START MISSION
BuffMissionPage_Goal|MISSION GOALS
BuffMissionPage_Buffs|MISSION BUFFS

//BuffContinueGamePage
BuffContinueGamePage_Restart|Restart
//CardSheetPage:
CardSheetPage_Life_Countable|Cycles
CardSheetPage_Life_Uncountable|Everlasting
CardSheetPage_Stack_Stackable|Stackable
CardSheetPage_Stack_Unstackable|Unstackable
CardSheetPage_Stack_Triggerable|Manually
CardSheetPage_Stack_Untriggerable|Automatically


//CardInfoDisplay:
CardInfoDisplay_Missing|???
CardInfoDisplay_MissingDescription|Select a buff to view description
CardInfoDisplay_MissingConflict|Select a buff to view conflict

CardInfoDisplay_TypeTitle|Type:
CardInfoDisplay_TriggerTitle|Trigger:
CardInfoDisplay_StackTitle|Stack:
CardInfoDisplay_DescriptionTitle|Description:
CardInfoDisplay_ConflictTitle|Conflict:


//Notification:
Notificaion_ConfirmButton|Confirm
Notification_RewardTitle|Awards received:
Notification_MissionReward|Unlock mission
Notification_MissionReward_Unique|Unlock unique mission
Notification_CosmeticReward|Unlock cosmetic
Notification_CardReward|Unlock card
Notification_FreePickReward|Unlock free pick count
Notification_TooManyMods_Title|Mod count warning:
Notification_TooManyMods_Info|It seems you have enable many mods, be ware this may cause more exception or crash.<LINE>If an exception occurs, please keep an eye on the exception notifications (if enabled) and files below:<LINE>exceptionLog.txt (locate at root path of rainworld)<LINE>buffcore.txt (locate at Rain World\RainWorld_Data\StreamingAssets)

//BuffMenu:
Survival|SURVIVAL
Normal|NORMAL
Quick|QUICK
Sandbox|SANDBOX
ProgressionMenu_Show|PROGRESSION


//BuffConditionHUD
BuffConditionHUD_WinInfo|sleep to finish game
BuffConditionHUD_WinTitle|WIN

//BuffHUD
BuffHUD_FreePick|Select initial cards ({0}/{1})

//BuffModeSelect
Mode_Free|FREE MODE
Mode_Mission|MISSION MODE
Mode_Desc_Free|You can customize the game's difficulty,<LINE>mode and goals freely before starting a new game,<LINE>and can only get cards through card gachas.
Mode_Desc_Mission|Choose a mission to start a new game.<LINE>Your goals and initial cards are decided by which mission you chose,<LINE>and you can't change the game's difficulty and mode.

//BuffCardSlot
InGameSlot_SlotTitle|BuffSlot
InGameSlot_CardDetail|BuffDetail
CardPickSlot_SlotTitle|Pick <Cards> cards
InGameSlot_SandBoxTitle|Modify active buffs
InGameSlot_OpenSandBoxButton|Buff
HudTips|Press {0} to open hud for browsing condition and buffcard


//CardpediaCardSheet
Everlasting|Everlasting
Cycles|Cycles
Stackable|Stackable
Unstackable|Unstackable
CardpediaCardSheet_Manually|Manually
CardpediaCardSheet_Automatically|Automatically
CardpediaCardSheet_Info|(Click the cards below to view the detail information)
CardpediaCardSheet_None|(None)

//Records
totCard|Acquired buffs :
totPositiveCard|Acquired positive buffs :
totNegativeCard|Acquired negative buffs :
totDualityCard|Acquired duality buffs :
totTriggerCount|Triggered buffs :
totTime|Finish time:
RunCount|Games completed:
InitPickCount|Initial draw count:

//BasicInGameBuffCardSlot
BasicInGameBuffCardSlot_OnMouseFocus|[Single click/press throw] to check <BuffID> in detail
BasicInGameBuffCardSlot_OnCardExclusiveShow|[Single click/press throw] to turn over the card<LINE>[Single click/press throw] at blank space to exit detail mode<LINE>[Scroll/Hold up or down] to browse discription if it's too long
BasicInGameBuffCardSlot_NoCardFocus|Move mouse over a card and [click/press throw] to check it
BasicInGameBuffCardSlot_ExitHUD|<LINE>Press <HUD_KEY> to turn off hud
BasicInGameBuffCardSlot_BindKey|<LINE>[Right click/press grab]to trigger buff<LINE>Press another key while hold <KEYBINDER_KEY> to bind shortcut key for <BuffID>

//CardPickerSlot
CardPickerSlot_NoCardFocus|Move mouse over a card and click/press throw to check it
CardPickerSlot_OnMouseFocus|[Single click/press throw] to flip the card<LINE>[Right click/press grab] to pick the card



//GachaTemplate
GachaTemplate_Desc_Normal|Standard card draw mode; cards can be drawn at the end of each cycle.
GachaTemplate_Desc_Quick|No card draws; a card is randomly added every 30 seconds, alternating between positive and negative or duality.
GachaTemplate_Desc_Sandbox|No card draws; cards can be freely added or removed, with no rewards given.
GachaTemplate_Desc_Survival|Except for the initial card draw, only negative or duality cards are drawn.
GachaTemplate_Desc_SurvivalOfFittest|Every five cycles, randomly obtain one of the following cards: VultureShapedMutation, SpiderShapedMutation, PixieSlug, JellyfishShapedMutation, SlugSlug, and stack it to the maximum.
GachaTemplate_Desc_SephirahMeltdowns|Every four cycles constitute a stage. At the start of each stage, a specific negative card is obtained, and at the end of the stage, two positive cards can be drawn.
GachaTemplate_Detail_Base|<Color=FFC300>Experience multiplier: {0}<ENTRY><Color=FFE180>Initial draw multiplier: {1}<ENTRY>{2} use passage stack or remove cards
GachaTemplate_Detail_Base_NoFreePick|<Color=FFC300>Experience multiplier: {0}<ENTRY><Color=FFE180>No initial draw<ENTRY>{1} use passage stack or remove cards
GachaTemplate_Detail_Normal|<GachaPositive>Positive or duality card draws: {0}<ENTRY><GachaNonPositive>Negative or duality card draws: {1}
GachaTemplate_Detail_Base_Yes|Can
GachaTemplate_Detail_Base_No|Can't

//BuffCondition
DisplayName_Achievement|Earn {0} passage
DisplayName_Cycle|Survive {0} cycles
DisplayName_Card|Collect {0} {1} buffcards
DisplayName_Like|Maximize reputation with {0}
DisplayName_MeetSS_SL|Meet Pebbles and Moon in {0} cycles
DisplayName_Gourmand|Complete Gourmand Feast
DisplayName_Interval_OutRange|Completed the task within {0}-{1} cycles, now hidden
DisplayName_FixCycle|Complete the mission in {0} cycle
DisplayName_MeltDownHunt|Kill {0} {1} 
DisplayName_Death|Complete the mission less than {0} death  
DisplayName_CycleScore|Earn {0} points from creature kills this cycle
DisplayName_SaveMoon|Save Moon in {0} cycles
DisplayName_Battery|Install the Pebbles core to moon
DisplayName_MeltDownBinah|Defeat An Arbiter
DisplayName_Extermination|Kill {0} ceatures with {1}
DisplayName_Score|Earn {0} points from creature kills
DisplayName_TreeOfLight|Collect a full amount of energy (food)
DisplayName_Abyss|Go to the depth
DisplayName_Ascend|Ascend all creatures in {0} regions
DisplayName_AscendOracle|Ascend Pebbles and Moon
DisplayName_Distance|Move at least {0} meters
DisplayName_Distance_Faster|Move at least {0} meters while the card grants a speed boost
DisplayName_ScorchCreature|Using heat to burn {0} creatures
DisplayName_PermanentlyHold|Permanently hold {0}

//BuffCondition_BuffTypes
all types|all types
Negative|negative
Positive|positive
Duality|duality


//BuffCondition_Builtin
InRangeDisplayName_WormGrassWipeOutCondition|Wipe out all wormgrass in room in one cycle

//BuffCondition_CommunityID
Lizards|Lizards
